datetime,title,description,url,image_urls,search_key_word
2020-04-01 22:09:32,GOP rep blasts China for allegedly underreporting coronavirus cases and deaths amid new intel report,"Rep. Michael McCaul, the ranking Republican on the House Foreign Affairs Committee, reiterated his call on Wednesday for the State Department to investigate China’s handling of the coronavirus pandemic following a report that the Chinese Communist Party concealed the extent of the coronavirus outbreak and under-reported the number of coronavirus cases and deaths in the country.",https://www.foxnews.com/politics/gop-rep-blasts-china-allegedly-underreporting-coronavirus-cases-deaths,,the
2020-04-01 22:05:20,"Ohio gov on pandemic restrictions: 'We have to continue to do what we're doing, we can't gather together'","Ohio Gov. Mike DeWine, one of the first officials to implement social distancing restrictions in his state, called in to ""Your World with Cavuto"" Wednesday to speak about the battle against the coronavirus and how he plans to stay ahead of it.",https://www.foxnews.com/media/ohio-gov-dewine-we-cant-gather-together,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/be7e4714-2755-431f-a16f-4d5188f0cce4/8cbfe8d0-86ca-44d6-8964-e5c8ddd06d65/1280x720/match/image.jpg,the
2020-04-01 21:53:26,'The View' co-host presses Bernie Sanders on 'Medicare-for-all' wait times amid coronavirus pandemic,"""The View"" guest co-host Sara Haines challenged Sen. Bernie Sanders, I-Vt., on Wednesday, asking him about the potential wait times that his ""Medicare-for-all"" program would create during the coronavirus pandemic.",https://www.foxnews.com/media/sara-haines-bernie-sanders-wait-times-medicare,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Haines-Sanders_Getty.jpg,the
2020-04-01 21:48:23,"Netanyahu to Israel: During coronavirus, everyone outside should cover their faces",Israeli Prime Minister Benjamin Netanyahu is ordering all citizens to wear masks while out in public space amid the coronavirus pandemic.,https://www.foxnews.com/world/netanyahu-israel-coronavirus-everyone-outside-cover-their-faces,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/0286334c-fb74-4c72-a7de-5481b4508888/bbe35f18-167a-40e5-9720-fffc39f016fb/1280x720/match/image.jpg,the
2020-04-01 21:48:16,"Trump announces enhanced narcotic operations amid coronavirus, deploys destroyers and Air Force assets","President Trump -- flanked by Attorney General Bill Barr, Secretary of Defense Mark Esper and top military officials at the White House coronavirus briefing -- announced on Wednesday a massive new ""counternarcotics operation"" in the Eastern Pacific Ocean and Caribbean Sea to ""combat the flow of illicit drugs into the United States"" by drug cartels ""exploiting"" the pandemic.",https://www.foxnews.com/politics/trump-announces-advances-counternarcotics-operation-deploys-destroyers-and-air-force-assets,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/40864948-025a-4f34-8261-9191d793e3bd/d4d7d9a4-a893-432b-b9aa-b966ee862338/1280x720/match/image.jpg,the
2020-04-01 21:47:21,"Santa Monica Farmers Market still flooded with shoppers despite coronavirus warnings, photos show","Photos captured a social distancing nightmare at the Santa Monica farmer’s market Wednesday morning, as Angelenos swarmed to buy fresh groceries. ",https://www.foxnews.com/us/santa-monica-farmers-market-still-flooded-with-shoppers-despite-coronavirus-warnings,https://static.foxnews.com/foxnews.com/content/uploads/2019/05/ContentBroker_contentid-91ac2667f5874c6b9694d05d9f37464a.png,the
2020-04-01 21:46:54,Daniel Turner: Defeating coronavirus would be impossible without energy workers who power the fight,America's energy workers are the support troops for the front-line medical professionals battling the coronavirus.,https://www.foxnews.com/opinion/coronavirus-energy-daniel-turner,,the
2020-04-01 21:42:26,"Broadway star Nick Cordero in ICU, family thinks it's due to misdiagnosed coronavirus","Nick Cordero, known for his roles on Broadway in ""Bullets Over Broadway"" and ""Waitress,"" is currently in intensive care.",https://www.foxnews.com/entertainment/nick-cordero-icu-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/nickcordero.jpg,the
2020-04-01 21:32:20,"Dr. Makary says America returning to normal by June would be a 'win,' outbreak peak 'about four weeks away'","Fox News contributor Dr. Marty Makary, a health policy expert at Johns Hopkins University, told ""Your World"" Wednesday that it would be a ""win"" in the war against the coronavirus pandemic if American life could return to normal by June.",https://www.foxnews.com/media/marty-makary-coronavirus-back-to-normal,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/f3cdbdd2-e493-46c7-8b79-94bc64eba874/673ea540-3b7c-42d1-856e-ac0549665ffc/1280x720/match/image.jpg,the
2020-04-01 21:19:36,Toilet paper shipment goes up in flames in Texas truck crash,"A tractor-trailer carrying a load of toilet paper rolled over and burst into flames on a Texas highway early Wednesday morning, as people are hoarding the household necessity around the country during the coronavirus pandemic.",https://www.foxnews.com/us/toilet-paper-shipment-up-in-flames-texas-truck-crash,https://static.foxnews.com/foxnews.com/content/uploads/2018/11/Toilet-Paper.jpg,the
2020-04-01 21:16:00,CNN analyst mocked for claiming it's a 'GOP campaign message' to blame China for virus outbreak,"CNN political analyst Nathan Gonzales was mocked on Wednesday for suggesting that casting blame onto China for the coronavirus outbreak is becoming a ""GOP campaign message.""",https://www.foxnews.com/media/cnn-analyst-mocked-after-saying-that-blaming-china-for-virus-outbreak-is-now-a-gop-campaign-message,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Nathan-Gonzales-CNN.jpg,the
2020-04-01 21:15:02,"Reporter interrupted by shirtless dad while working from home during coronavirus outbreak: 'Dad, holy crap!'",Living with your parents is never easy.,https://www.foxnews.com/lifestyle/reporter-dad-shirtless-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/belly-man.jpg,the
2020-04-01 21:13:32,"After attacking Trump's coronavirus-related China travel ban as xenophobic, Dems and media have changed tune","Within hours of President Trump's decision to restrict travel from China on January 31, top Democrats and media figures immediately derided the move as unnecessary and xenophobic -- and they are now beating a hasty retreat from that position as the coronavirus continues to ravage the economy and cause scores of deaths.",https://www.foxnews.com/politics/dems-media-change-tune-trump-attacks-coronavirus-china-travel-ban,https://static.foxnews.com/foxnews.com/content/uploads/2020/03/Trump-Media-2.jpg,the
2020-04-01 21:02:20,Florida couple on stranded cruise ship pleads with Gov. DeSantis: 'Get people home',"A Florida couple stuck on one of two Holland America cruise liners that have been stranded at sea due to the coronavirus outbreak pleaded with Gov. Ron DeSantis Wednesday to ""get people home"" after he announced that he had not yet made a decision on whether or not to allow the ships to dock in his state.",https://www.foxnews.com/media/florida-couple-stranded-cruise-ship-ron-desantis,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/6031ff28-c312-470e-9928-6b50f635eab5/3071a56a-9d8b-49d5-8000-8df56399a001/1280x720/match/image.jpg,the
